
================================================================================
RESONANT HUNTER v8.4.9 – SINGULARIDAD RECUPERADA
================================================================================

📁 Cargando datos LIGO O4a...
✓ Cargadas 67108864 muestras. GPS inicio: 1389424640.0

[FASE 1] Blanqueo Percudani (ε = 1e-4, k_early = 0.967)...

[FASE 2] Análisis de coherencia (8189 ventanas)
   ✓ Ventana 6100 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1284 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6150 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1284 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6200 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1283 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6250 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1283 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6300 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1283 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6350 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1283 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6400 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1283 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6450 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1283 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6500 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1283 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6550 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1283 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6600 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1282 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6650 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1282 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6700 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1282 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6750 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1282 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6800 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1282 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6850 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1282 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6900 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1282 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6950 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1282 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 7000 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1281 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 7050 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1281 Hz ⚠️ SINGULARIDAD
